Candidate_ID,Job_Role,Experience_Level,Experience_Years,Education,Skills,Technical_Skills,Soft_Skills,Certifications,Projects,Previous_Job_Title,Industry,Resume_Summary,Resume_Text,Target_Job_Title,Job_Description,Required_Skills,Preferred_Skills,Matched_Skills,Missing_Skills,Skill_Match_Percentage,ATS_Score,Recommendation,Recommendation_Reason
C0193,Backend Developer,Senior,9,B.Tech Computer Science,"Redis, Java, Git, Node.js, PostgreSQL","Redis, Java, Git","Collaboration, Time Management, Problem Solving",ISTQB Foundation,"Security project for Backend Developer using Redis, Java, Git",Technical Specialist,Telecommunications,"Senior Backend Developer candidate with 9 years of experience. Skilled in Redis, Java, Git, Node.js with practical exposure through Security project for Backend Developer using Redis, Java, Git.","Professional Summary: Senior Backend Developer candidate with 9 years of experience. Skilled in Redis, Java, Git, Node.js with practical exposure through Security project for Backend Developer using Redis, Java, Git.
Technical Skills: Redis, Java, Git, Node.js, PostgreSQL
Experience: 9 years in Telecommunications. Previous role: Technical Specialist.
Education: B.Tech Computer Science
Projects: Security project for Backend Developer using Redis, Java, Git
Certifications: ISTQB Foundation
Soft Skills: Collaboration, Time Management, Problem Solving",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Redis, Git, Express, Java, MongoDB, REST APIs. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, Docker.","Redis, Git, Express, Java, MongoDB, REST APIs","Docker, Python, Node.js","Redis, Git, Java","Express, MongoDB, REST APIs",50,55.66,Consider,"Matched 3 of 6 required skills; missing Express, MongoDB, REST APIs. 9 years of experience and istqb foundation were considered."
C0194,Backend Developer,Senior,7,B.Tech Computer Science,"Git, Node.js, Java, Express, PostgreSQL, Python, Docker","Git, Node.js, Java, Express, PostgreSQL","Leadership, Analytical Thinking, Communication",Microsoft Azure Fundamentals,"Optimization project for Backend Developer using Git, Node.js, Java",Junior Backend Developer,Manufacturing,"Senior Backend Developer candidate with 7 years of experience. Skilled in Git, Node.js, Java, Express with practical exposure through Optimization project for Backend Developer using Git, Node.js, Java.","Professional Summary: Senior Backend Developer candidate with 7 years of experience. Skilled in Git, Node.js, Java, Express with practical exposure through Optimization project for Backend Developer using Git, Node.js, Java.
Technical Skills: Git, Node.js, Java, Express, PostgreSQL, Python, Docker
Experience: 7 years in Manufacturing. Previous role: Junior Backend Developer.
Education: B.Tech Computer Science
Projects: Optimization project for Backend Developer using Git, Node.js, Java
Certifications: Microsoft Azure Fundamentals
Soft Skills: Leadership, Analytical Thinking, Communication",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Java, REST APIs, Redis, Express, Docker, MongoDB. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Git, Node.js.","Java, REST APIs, Redis, Express, Docker, MongoDB","PostgreSQL, Git, Python","Java, Express, Docker","REST APIs, Redis, MongoDB",50,48.77,Not Recommended,"Matched 3 of 6 required skills; missing REST APIs, Redis, MongoDB. 7 years of experience and microsoft azure fundamentals were considered."
C0195,Backend Developer,Senior,6,B.Sc Computer Science,"Java, Redis, PostgreSQL, REST APIs, Python, Express, Git, MongoDB","Java, Redis, PostgreSQL, REST APIs, Python, Express","Problem Solving, Collaboration, Teamwork",AWS Certified Cloud Practitioner,"Security project for Backend Developer using Java, Redis, PostgreSQL",Software Engineer,SaaS,"Senior Backend Developer candidate with 6 years of experience. Skilled in Java, Redis, PostgreSQL, REST APIs with practical exposure through Security project for Backend Developer using Java, Redis, PostgreSQL.","Professional Summary: Senior Backend Developer candidate with 6 years of experience. Skilled in Java, Redis, PostgreSQL, REST APIs with practical exposure through Security project for Backend Developer using Java, Redis, PostgreSQL.
Technical Skills: Java, Redis, PostgreSQL, REST APIs, Python, Express, Git, MongoDB
Experience: 6 years in SaaS. Previous role: Software Engineer.
Education: B.Sc Computer Science
Projects: Security project for Backend Developer using Java, Redis, PostgreSQL
Certifications: AWS Certified Cloud Practitioner
Soft Skills: Problem Solving, Collaboration, Teamwork",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Java, Git, MongoDB, Node.js, Express, Python. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Docker, Redis.","Java, Git, MongoDB, Node.js, Express, Python","Docker, REST APIs, Redis","Java, Git, MongoDB, Express, Python",Node.js,83.33,78.24,Recommended,Matched 5 of 6 required skills; missing Node.js. 6 years of experience and aws certified cloud practitioner were considered.
C0196,Backend Developer,Senior,8,BCA,"MongoDB, PostgreSQL, Java, REST APIs, Python, Git, Express","MongoDB, PostgreSQL, Java, REST APIs, Python","Adaptability, Time Management, Communication",None,"Management project for Backend Developer using MongoDB, PostgreSQL, Java",Technical Specialist,Banking,"Senior Backend Developer candidate with 8 years of experience. Skilled in MongoDB, PostgreSQL, Java, REST APIs with practical exposure through Management project for Backend Developer using MongoDB, PostgreSQL, Java.","Professional Summary: Senior Backend Developer candidate with 8 years of experience. Skilled in MongoDB, PostgreSQL, Java, REST APIs with practical exposure through Management project for Backend Developer using MongoDB, PostgreSQL, Java.
Technical Skills: MongoDB, PostgreSQL, Java, REST APIs, Python, Git, Express
Experience: 8 years in Banking. Previous role: Technical Specialist.
Education: BCA
Projects: Management project for Backend Developer using MongoDB, PostgreSQL, Java
Certifications: None
Soft Skills: Adaptability, Time Management, Communication",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include REST APIs, Python, PostgreSQL, Git, Docker, Redis. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include MongoDB, Express.","REST APIs, Python, PostgreSQL, Git, Docker, Redis","Express, MongoDB, Node.js","REST APIs, Python, PostgreSQL, Git","Docker, Redis",66.67,61.17,Consider,"Matched 4 of 6 required skills; missing Docker, Redis. 8 years of experience and no listed certification were considered."
C0197,Backend Developer,Senior,9,B.E Computer Science,"Redis, Node.js, Express, REST APIs, Git, Docker","Redis, Node.js, Express, REST APIs","Time Management, Teamwork, Communication",None,"Monitoring project for Backend Developer using Redis, Node.js, Express",Technical Specialist,E-commerce,"Senior Backend Developer candidate with 9 years of experience. Skilled in Redis, Node.js, Express, REST APIs with practical exposure through Monitoring project for Backend Developer using Redis, Node.js, Express.","Professional Summary: Senior Backend Developer candidate with 9 years of experience. Skilled in Redis, Node.js, Express, REST APIs with practical exposure through Monitoring project for Backend Developer using Redis, Node.js, Express.
Technical Skills: Redis, Node.js, Express, REST APIs, Git, Docker
Experience: 9 years in E-commerce. Previous role: Technical Specialist.
Education: B.E Computer Science
Projects: Monitoring project for Backend Developer using Redis, Node.js, Express
Certifications: None
Soft Skills: Time Management, Teamwork, Communication",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Node.js, REST APIs, Git, Java, Python, PostgreSQL. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Docker, Redis.","Node.js, REST APIs, Git, Java, Python, PostgreSQL","Docker, Redis, Express","Node.js, REST APIs, Git","Java, Python, PostgreSQL",50,50.27,Consider,"Matched 3 of 6 required skills; missing Java, Python, PostgreSQL. 9 years of experience and no listed certification were considered."
C0198,Backend Developer,Senior,9,B.E Computer Science,"MongoDB, PostgreSQL, Express, Java, Redis, REST APIs, Python, Node.js","MongoDB, PostgreSQL, Express, Java, Redis, REST APIs","Collaboration, Communication, Adaptability",None,"Security project for Backend Developer using MongoDB, PostgreSQL, Express",Backend Developer,SaaS,"Senior Backend Developer candidate with 9 years of experience. Skilled in MongoDB, PostgreSQL, Express, Java with practical exposure through Security project for Backend Developer using MongoDB, PostgreSQL, Express.","Professional Summary: Senior Backend Developer candidate with 9 years of experience. Skilled in MongoDB, PostgreSQL, Express, Java with practical exposure through Security project for Backend Developer using MongoDB, PostgreSQL, Express.
Technical Skills: MongoDB, PostgreSQL, Express, Java, Redis, REST APIs, Python, Node.js
Experience: 9 years in SaaS. Previous role: Backend Developer.
Education: B.E Computer Science
Projects: Security project for Backend Developer using MongoDB, PostgreSQL, Express
Certifications: None
Soft Skills: Collaboration, Communication, Adaptability",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Express, Docker, REST APIs, Git, Redis, PostgreSQL. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Java, Node.js.","Express, Docker, REST APIs, Git, Redis, PostgreSQL","Node.js, Java, Python","Express, REST APIs, Redis, PostgreSQL","Docker, Git",66.67,63.04,Consider,"Matched 4 of 6 required skills; missing Docker, Git. 9 years of experience and no listed certification were considered."
C0199,Backend Developer,Senior,10,B.Tech Computer Science,"Docker, REST APIs, Python, Node.js, Git","Docker, REST APIs, Python","Communication, Collaboration, Adaptability",Google Cloud certification,"Prediction project for Backend Developer using Docker, REST APIs, Python",Software Engineer,Education,"Senior Backend Developer candidate with 10 years of experience. Skilled in Docker, REST APIs, Python, Node.js with practical exposure through Prediction project for Backend Developer using Docker, REST APIs, Python.","Professional Summary: Senior Backend Developer candidate with 10 years of experience. Skilled in Docker, REST APIs, Python, Node.js with practical exposure through Prediction project for Backend Developer using Docker, REST APIs, Python.
Technical Skills: Docker, REST APIs, Python, Node.js, Git
Experience: 10 years in Education. Previous role: Software Engineer.
Education: B.Tech Computer Science
Projects: Prediction project for Backend Developer using Docker, REST APIs, Python
Certifications: Google Cloud certification
Soft Skills: Communication, Collaboration, Adaptability",Python Developer,"We are hiring a Python Developer to design, develop, test and maintain technology solutions. Required skills include Git, Pytest, Docker, REST APIs, SQL, Flask. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, FastAPI.","Git, Pytest, Docker, REST APIs, SQL, Flask","PostgreSQL, FastAPI, Python","Git, Docker, REST APIs","Pytest, SQL, Flask",50,57.17,Consider,"Matched 3 of 6 required skills; missing Pytest, SQL, Flask. 10 years of experience and google cloud certification were considered."
C0200,Backend Developer,Senior,8,B.Tech Computer Science,"REST APIs, Redis, Java, Docker, Git","REST APIs, Redis, Java","Problem Solving, Collaboration, Analytical Thinking",None,"Optimization project for Backend Developer using REST APIs, Redis, Java",Junior Backend Developer,SaaS,"Senior Backend Developer candidate with 8 years of experience. Skilled in REST APIs, Redis, Java, Docker with practical exposure through Optimization project for Backend Developer using REST APIs, Redis, Java.","Professional Summary: Senior Backend Developer candidate with 8 years of experience. Skilled in REST APIs, Redis, Java, Docker with practical exposure through Optimization project for Backend Developer using REST APIs, Redis, Java.
Technical Skills: REST APIs, Redis, Java, Docker, Git
Experience: 8 years in SaaS. Previous role: Junior Backend Developer.
Education: B.Tech Computer Science
Projects: Optimization project for Backend Developer using REST APIs, Redis, Java
Certifications: None
Soft Skills: Problem Solving, Collaboration, Analytical Thinking",Backend Developer,"We are hiring a Backend Developer to design, develop, test and maintain technology solutions. Required skills include Node.js, REST APIs, Docker, MongoDB, Git, Python. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include PostgreSQL, Redis.","Node.js, REST APIs, Docker, MongoDB, Git, Python","Express, Redis, Java","REST APIs, Docker, Git","Node.js, MongoDB, Python",50,55.79,Consider,"Matched 3 of 6 required skills; missing Node.js, MongoDB, Python. 8 years of experience and no listed certification were considered."
C0201,Cloud Engineer,Fresher,0,B.E Computer Science,"Azure, GCP, IAM, Kubernetes, Linux, Docker, Terraform, Switching","Azure, GCP, IAM, Kubernetes, Linux, Docker","Adaptability, Analytical Thinking, Collaboration",Cisco CCNA,"Management project for Cloud Engineer using Azure, GCP, IAM",Fresher,Telecommunications,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, IAM, Kubernetes with practical exposure through Management project for Cloud Engineer using Azure, GCP, IAM.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, IAM, Kubernetes with practical exposure through Management project for Cloud Engineer using Azure, GCP, IAM.
Technical Skills: Azure, GCP, IAM, Kubernetes, Linux, Docker, Terraform, Switching
Experience: 0 years in Telecommunications. Previous role: Fresher.
Education: B.E Computer Science
Projects: Management project for Cloud Engineer using Azure, GCP, IAM
Certifications: Cisco CCNA
Soft Skills: Adaptability, Analytical Thinking, Collaboration",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Linux, Docker, AWS, IAM, GCP, Networking. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, Kubernetes.","Linux, Docker, AWS, IAM, GCP, Networking","Python, Terraform, Kubernetes","Linux, Docker, IAM, GCP","AWS, Networking",66.67,45.99,Not Recommended,"Matched 4 of 6 required skills; missing AWS, Networking. 0 years of experience and cisco ccna were considered."
C0202,Cloud Engineer,Fresher,0,M.Sc Computer Science,"Terraform, Networking, Kubernetes, Docker, GCP","Terraform, Networking, Kubernetes","Adaptability, Problem Solving, Communication",None,"Prediction project for Cloud Engineer using Terraform, Networking, Kubernetes",Fresher,Education,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Terraform, Networking, Kubernetes, Docker with practical exposure through Prediction project for Cloud Engineer using Terraform, Networking, Kubernetes.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Terraform, Networking, Kubernetes, Docker with practical exposure through Prediction project for Cloud Engineer using Terraform, Networking, Kubernetes.
Technical Skills: Terraform, Networking, Kubernetes, Docker, GCP
Experience: 0 years in Education. Previous role: Fresher.
Education: M.Sc Computer Science
Projects: Prediction project for Cloud Engineer using Terraform, Networking, Kubernetes
Certifications: None
Soft Skills: Adaptability, Problem Solving, Communication",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include AWS, Azure, Docker, Kubernetes, Linux, Terraform. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Python, Networking.","AWS, Azure, Docker, Kubernetes, Linux, Terraform","Networking, IAM, GCP","Docker, Kubernetes, Terraform","AWS, Azure, Linux",50,35.32,Not Recommended,"Matched 3 of 6 required skills; missing AWS, Azure, Linux. 0 years of experience and no listed certification were considered."
C0203,Cloud Engineer,Fresher,0,BCA,"Docker, IAM, AWS, Python, Networking, Kubernetes","Docker, IAM, AWS, Python","Communication, Adaptability, Collaboration",None,"Management project for Cloud Engineer using Docker, IAM, AWS",Fresher,IT Services,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Docker, IAM, AWS, Python with practical exposure through Management project for Cloud Engineer using Docker, IAM, AWS.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Docker, IAM, AWS, Python with practical exposure through Management project for Cloud Engineer using Docker, IAM, AWS.
Technical Skills: Docker, IAM, AWS, Python, Networking, Kubernetes
Experience: 0 years in IT Services. Previous role: Fresher.
Education: BCA
Projects: Management project for Cloud Engineer using Docker, IAM, AWS
Certifications: None
Soft Skills: Communication, Adaptability, Collaboration",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Azure, Networking, Docker, Python, IAM, GCP. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include AWS, Terraform.","Azure, Networking, Docker, Python, IAM, GCP","AWS, Kubernetes, Terraform","Networking, Docker, Python, IAM","Azure, GCP",66.67,44.68,Not Recommended,"Matched 4 of 6 required skills; missing Azure, GCP. 0 years of experience and no listed certification were considered."
C0204,Cloud Engineer,Fresher,0,M.Tech,"Azure, GCP, Terraform, IAM, Linux, AWS","Azure, GCP, Terraform, IAM","Collaboration, Communication, Problem Solving",None,"Prediction project for Cloud Engineer using Azure, GCP, Terraform",Fresher,Telecommunications,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, Terraform, IAM with practical exposure through Prediction project for Cloud Engineer using Azure, GCP, Terraform.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, Terraform, IAM with practical exposure through Prediction project for Cloud Engineer using Azure, GCP, Terraform.
Technical Skills: Azure, GCP, Terraform, IAM, Linux, AWS
Experience: 0 years in Telecommunications. Previous role: Fresher.
Education: M.Tech
Projects: Prediction project for Cloud Engineer using Azure, GCP, Terraform
Certifications: None
Soft Skills: Collaboration, Communication, Problem Solving",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Terraform, Kubernetes, Docker, GCP, Azure, AWS. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Networking, Python.","Terraform, Kubernetes, Docker, GCP, Azure, AWS","Linux, Networking, Python","Terraform, GCP, Azure, AWS","Kubernetes, Docker",66.67,48.43,Not Recommended,"Matched 4 of 6 required skills; missing Kubernetes, Docker. 0 years of experience and no listed certification were considered."
C0205,Cloud Engineer,Fresher,0,B.Sc Computer Science,"Azure, GCP, Kubernetes, Python, Terraform, AWS, Linux, IAM, Git","Azure, GCP, Kubernetes, Python, Terraform, AWS, Linux","Time Management, Problem Solving, Teamwork",None,"Optimization project for Cloud Engineer using Azure, GCP, Kubernetes",Fresher,IT Services,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, Kubernetes, Python with practical exposure through Optimization project for Cloud Engineer using Azure, GCP, Kubernetes.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, GCP, Kubernetes, Python with practical exposure through Optimization project for Cloud Engineer using Azure, GCP, Kubernetes.
Technical Skills: Azure, GCP, Kubernetes, Python, Terraform, AWS, Linux, IAM, Git
Experience: 0 years in IT Services. Previous role: Fresher.
Education: B.Sc Computer Science
Projects: Optimization project for Cloud Engineer using Azure, GCP, Kubernetes
Certifications: None
Soft Skills: Time Management, Problem Solving, Teamwork",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Azure, Terraform, Networking, AWS, Linux, Python. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include IAM, Kubernetes.","Azure, Terraform, Networking, AWS, Linux, Python","GCP, Kubernetes, Docker","Azure, Terraform, AWS, Linux, Python",Networking,83.33,57.98,Consider,Matched 5 of 6 required skills; missing Networking. 0 years of experience and no listed certification were considered.
C0206,Cloud Engineer,Fresher,0,BCA,"IAM, Linux, AWS, Python, Docker","IAM, Linux, AWS","Collaboration, Adaptability, Problem Solving",Kubernetes certification,"Automation project for Cloud Engineer using IAM, Linux, AWS",Fresher,Cloud Services,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in IAM, Linux, AWS, Python with practical exposure through Automation project for Cloud Engineer using IAM, Linux, AWS.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in IAM, Linux, AWS, Python with practical exposure through Automation project for Cloud Engineer using IAM, Linux, AWS.
Technical Skills: IAM, Linux, AWS, Python, Docker
Experience: 0 years in Cloud Services. Previous role: Fresher.
Education: BCA
Projects: Automation project for Cloud Engineer using IAM, Linux, AWS
Certifications: Kubernetes certification
Soft Skills: Collaboration, Adaptability, Problem Solving",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Networking, Azure, Docker, GCP, Python, Kubernetes. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include IAM, Linux.","Networking, Azure, Docker, GCP, Python, Kubernetes","Linux, AWS, Terraform","Docker, Python","Networking, Azure, GCP, Kubernetes",33.33,35.81,Not Recommended,"Matched 2 of 6 required skills; missing Networking, Azure, GCP. 0 years of experience and kubernetes certification were considered."
C0207,Cloud Engineer,Fresher,0,B.E Information Technology,"Kubernetes, Azure, Docker, Linux, AWS, Python, IAM","Kubernetes, Azure, Docker, Linux, AWS","Leadership, Communication, Time Management",None,"Optimization project for Cloud Engineer using Kubernetes, Azure, Docker",Fresher,Retail,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Kubernetes, Azure, Docker, Linux with practical exposure through Optimization project for Cloud Engineer using Kubernetes, Azure, Docker.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Kubernetes, Azure, Docker, Linux with practical exposure through Optimization project for Cloud Engineer using Kubernetes, Azure, Docker.
Technical Skills: Kubernetes, Azure, Docker, Linux, AWS, Python, IAM
Experience: 0 years in Retail. Previous role: Fresher.
Education: B.E Information Technology
Projects: Optimization project for Cloud Engineer using Kubernetes, Azure, Docker
Certifications: None
Soft Skills: Leadership, Communication, Time Management",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Python, Linux, Networking, IAM, AWS, Terraform. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Azure, GCP.","Python, Linux, Networking, IAM, AWS, Terraform","Azure, GCP, Kubernetes","Python, Linux, IAM, AWS","Networking, Terraform",66.67,42.06,Not Recommended,"Matched 4 of 6 required skills; missing Networking, Terraform. 0 years of experience and no listed certification were considered."
C0208,Cloud Engineer,Fresher,0,B.E Computer Science,"IAM, GCP, Linux, AWS, Kubernetes, Azure, Networking, Python","IAM, GCP, Linux, AWS, Kubernetes, Azure","Problem Solving, Time Management, Adaptability",None,"Automation project for Cloud Engineer using IAM, GCP, Linux",Fresher,FinTech,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in IAM, GCP, Linux, AWS with practical exposure through Automation project for Cloud Engineer using IAM, GCP, Linux.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in IAM, GCP, Linux, AWS with practical exposure through Automation project for Cloud Engineer using IAM, GCP, Linux.
Technical Skills: IAM, GCP, Linux, AWS, Kubernetes, Azure, Networking, Python
Experience: 0 years in FinTech. Previous role: Fresher.
Education: B.E Computer Science
Projects: Automation project for Cloud Engineer using IAM, GCP, Linux
Certifications: None
Soft Skills: Problem Solving, Time Management, Adaptability",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include GCP, AWS, Python, Docker, IAM, Networking. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Azure, Kubernetes.","GCP, AWS, Python, Docker, IAM, Networking","Kubernetes, Terraform, Azure","GCP, AWS, Python, IAM, Networking",Docker,83.33,51.34,Consider,Matched 5 of 6 required skills; missing Docker. 0 years of experience and no listed certification were considered.
C0209,Cloud Engineer,Fresher,0,M.Sc Computer Science,"Kubernetes, Docker, Azure, IAM, Terraform, Python, Networking, Linux","Kubernetes, Docker, Azure, IAM, Terraform, Python","Problem Solving, Analytical Thinking, Teamwork",CompTIA Security+,"Analytics project for Cloud Engineer using Kubernetes, Docker, Azure",Fresher,E-commerce,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Kubernetes, Docker, Azure, IAM with practical exposure through Analytics project for Cloud Engineer using Kubernetes, Docker, Azure.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Kubernetes, Docker, Azure, IAM with practical exposure through Analytics project for Cloud Engineer using Kubernetes, Docker, Azure.
Technical Skills: Kubernetes, Docker, Azure, IAM, Terraform, Python, Networking, Linux
Experience: 0 years in E-commerce. Previous role: Fresher.
Education: M.Sc Computer Science
Projects: Analytics project for Cloud Engineer using Kubernetes, Docker, Azure
Certifications: CompTIA Security+
Soft Skills: Problem Solving, Analytical Thinking, Teamwork",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Python, GCP, Docker, AWS, Kubernetes, IAM. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Linux, Azure.","Python, GCP, Docker, AWS, Kubernetes, IAM","Networking, Azure, Terraform","Python, Docker, Kubernetes, IAM","GCP, AWS",66.67,57.74,Consider,"Matched 4 of 6 required skills; missing GCP, AWS. 0 years of experience and comptia security+ were considered."
C0210,Cloud Engineer,Fresher,0,BCA,"Azure, Terraform, Kubernetes, Docker, Linux, Python, DHCP","Azure, Terraform, Kubernetes, Docker, Linux","Adaptability, Problem Solving, Analytical Thinking",None,"Analytics project for Cloud Engineer using Azure, Terraform, Kubernetes",Fresher,Retail,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, Terraform, Kubernetes, Docker with practical exposure through Analytics project for Cloud Engineer using Azure, Terraform, Kubernetes.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Azure, Terraform, Kubernetes, Docker with practical exposure through Analytics project for Cloud Engineer using Azure, Terraform, Kubernetes.
Technical Skills: Azure, Terraform, Kubernetes, Docker, Linux, Python, DHCP
Experience: 0 years in Retail. Previous role: Fresher.
Education: BCA
Projects: Analytics project for Cloud Engineer using Azure, Terraform, Kubernetes
Certifications: None
Soft Skills: Adaptability, Problem Solving, Analytical Thinking",DevOps Engineer,"We are hiring a DevOps Engineer to design, develop, test and maintain technology solutions. Required skills include AWS, Terraform, Kubernetes, Git, Jenkins, Linux. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include CI/CD, Docker.","AWS, Terraform, Kubernetes, Git, Jenkins, Linux","Docker, Python, Prometheus","Terraform, Kubernetes, Linux","AWS, Git, Jenkins",50,36.9,Not Recommended,"Matched 3 of 6 required skills; missing AWS, Git, Jenkins. 0 years of experience and no listed certification were considered."
C0211,Cloud Engineer,Fresher,0,B.Tech Information Technology,"Networking, Linux, Terraform, AWS, Azure, Kubernetes","Networking, Linux, Terraform, AWS","Time Management, Problem Solving, Leadership",ISTQB Foundation,"Security project for Cloud Engineer using Networking, Linux, Terraform",Fresher,Education,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Networking, Linux, Terraform, AWS with practical exposure through Security project for Cloud Engineer using Networking, Linux, Terraform.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Networking, Linux, Terraform, AWS with practical exposure through Security project for Cloud Engineer using Networking, Linux, Terraform.
Technical Skills: Networking, Linux, Terraform, AWS, Azure, Kubernetes
Experience: 0 years in Education. Previous role: Fresher.
Education: B.Tech Information Technology
Projects: Security project for Cloud Engineer using Networking, Linux, Terraform
Certifications: ISTQB Foundation
Soft Skills: Time Management, Problem Solving, Leadership",Cloud Engineer,"We are hiring a Cloud Engineer to design, develop, test and maintain technology solutions. Required skills include Networking, Python, GCP, Azure, Docker, AWS. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Linux, IAM.","Networking, Python, GCP, Azure, Docker, AWS","Linux, Kubernetes, IAM","Networking, Azure, AWS","Python, GCP, Docker",50,34.53,Not Recommended,"Matched 3 of 6 required skills; missing Python, GCP, Docker. 0 years of experience and istqb foundation were considered."
C0212,Cloud Engineer,Fresher,0,M.Tech,"Linux, Networking, Docker, Python, Azure","Linux, Networking, Docker","Analytical Thinking, Communication, Leadership",CompTIA Security+,"Security project for Cloud Engineer using Linux, Networking, Docker",Fresher,Healthcare,"Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Linux, Networking, Docker, Python with practical exposure through Security project for Cloud Engineer using Linux, Networking, Docker.","Professional Summary: Fresher Cloud Engineer candidate with 0 years of experience. Skilled in Linux, Networking, Docker, Python with practical exposure through Security project for Cloud Engineer using Linux, Networking, Docker.
Technical Skills: Linux, Networking, Docker, Python, Azure
Experience: 0 years in Healthcare. Previous role: Fresher.
Education: M.Tech
Projects: Security project for Cloud Engineer using Linux, Networking, Docker
Certifications: CompTIA Security+
Soft Skills: Analytical Thinking, Communication, Leadership",DevOps Engineer,"We are hiring a DevOps Engineer to design, develop, test and maintain technology solutions. Required skills include CI/CD, Kubernetes, Git, Docker, AWS, Linux. Candidates should demonstrate relevant education, practical projects and appropriate experience. Preferred skills include Jenkins, Terraform.","CI/CD, Kubernetes, Git, Docker, AWS, Linux","Terraform, Jenkins, Prometheus","Docker, Linux","CI/CD, Kubernetes, Git, AWS",33.33,23.18,Not Recommended,"Matched 2 of 6 required skills; missing CI/CD, Kubernetes, Git. 0 years of experience and comptia security+ were considered."
